Price,Locality,Type_of_Property,Subtype_of_Property,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Surface_of_the_Land,Number_of_Facades,Swimming_Pool,State_of_the_Building
299000.0,Aalst,Apartment,APARTMENT,2.0,95.0,1,0.0,0,1.0,,,,,,0.0,
379000.0,Antwerpen,Apartment,APARTMENT,2.0,99.0,1,0.0,0,1.0,,,,,,0.0,AS_NEW
698000.0,Sint-Katelijne-Waver,House,HOUSE,4.0,175.0,0,0.0,0,1.0,,,,780.0,4.0,0.0,GOOD
799000.0,Ledegem,House,MANSION,5.0,415.0,0,0.0,0,1.0,,1.0,,1414.0,3.0,1.0,GOOD
279000.0,Heers,House,HOUSE,4.0,335.0,0,0.0,0,,,,,1133.0,4.0,0.0,
235000.0,Turnhout,House,HOUSE,2.0,125.0,1,0.0,1,1.0,,1.0,,112.0,2.0,0.0,GOOD
120000.0,Blankenberge,Apartment,FLAT_STUDIO,0.0,,0,1.0,0,,,,,,,0.0,GOOD
389000.0,Mechelen,House,HOUSE,3.0,165.0,1,0.0,0,,,1.0,,75.0,2.0,0.0,GOOD
285000.0,Forest,Apartment,APARTMENT,2.0,78.0,1,0.0,0,1.0,,,,,2.0,0.0,AS_NEW
469000.0,Gent Sint-Amandsberg,House,HOUSE,3.0,167.0,0,0.0,0,,,1.0,,114.0,2.0,0.0,AS_NEW
195000.0,Eeklo,Apartment,APARTMENT,2.0,94.0,0,0.0,0,1.0,,,,,,0.0,
749000.0,Dilbeek,House,HOUSE,5.0,235.0,1,0.0,0,1.0,,,,700.0,4.0,0.0,GOOD
339000.0,De Panne,Apartment,APARTMENT,2.0,81.0,0,0.0,0,1.0,,,,,,0.0,AS_NEW
280000.0,Brakel,Apartment,APARTMENT,2.0,105.0,0,0.0,0,,,,,,,0.0,GOOD
695000.0,Brugge,House,HOUSE,3.0,191.0,0,0.0,0,1.0,,,,395.0,,0.0,TO_RENOVATE
548000.0,Adegem,House,HOUSE,4.0,277.0,0,0.0,0,,,,,1368.0,,0.0,AS_NEW
889000.0,Affligem,House,MIXED_USE_BUILDING,3.0,485.0,1,0.0,0,1.0,,1.0,,2158.0,4.0,0.0,GOOD
469000.0,Blankenberge,Apartment,APARTMENT,3.0,140.0,0,0.0,0,,,,,,,0.0,JUST_RENOVATED
380000.0,Sint-Denijs-Westrem,Apartment,APARTMENT,2.0,99.0,1,0.0,0,1.0,,,,,,0.0,GOOD
247500.0,Liege,House,HOUSE,5.0,130.0,0,0.0,0,1.0,,,,170.0,2.0,0.0,AS_NEW
175000.0,Herentals,Apartment,DUPLEX,2.0,122.0,0,0.0,0,,,,,,2.0,0.0,TO_BE_DONE_UP
465000.0,Charleroi-Marchienne-Au-Pont,House,MIXED_USE_BUILDING,4.0,202.0,0,0.0,0,1.0,,,,0.0,3.0,0.0,AS_NEW
