Price,Type_of_Sale,Locality,Type_of_Property,Subtype_of_Property,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Surface_of_the_Land,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,State_of_the_Building
289000.0,,Lede,HOUSE,HOUSE,3.0,113.0,False,0.0,,1.0,,,,,200.0,2.0,0.0,GOOD
485000.0,,STERREBEEK,HOUSE,HOUSE,4.0,192.0,False,,2.0,1.0,18.0,,,,200.0,2.0,,GOOD
375000.0,,Paal,HOUSE,HOUSE,3.0,199.0,False,,,1.0,,,,,1053.0,,,
299000.0,,SINT-KATELIJNE-WAVER,HOUSE,HOUSE,3.0,153.0,False,,,1.0,,,,,139.0,,,GOOD
386000.0,,Aalst (9300),APARTMENT,APARTMENT,3.0,119.0,False,0.0,,1.0,12.0,,,,,,,GOOD
430000.0,,Schaerbeek,APARTMENT,APARTMENT,2.0,100.0,True,0.0,,1.0,10.0,,,,,3.0,0.0,AS_NEW
135000.0,,Sint-Jans-Molenbeek,APARTMENT,FLAT_STUDIO,1.0,63.0,False,,,1.0,8.0,,,,,2.0,,TO_RENOVATE
674000.0,,Waregem,HOUSE,HOUSE,3.0,160.0,True,0.0,,1.0,,,,,17910.0,4.0,0.0,GOOD
439000.0,,Mons,HOUSE,APARTMENT_BLOCK,3.0,205.0,False,0.0,,1.0,,,,,108.0,2.0,,TO_BE_DONE_UP
295000.0,,Nivelles,HOUSE,HOUSE,3.0,155.0,False,0.0,1.0,1.0,,1.0,232.0,232.0,232.0,3.0,0.0,TO_BE_DONE_UP
