Price,Type_of_Sale,Locality,Type_of_Property,Subtype_of_Property,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Surface_of_the_Land,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,State_of_the_Building
525000.0,0,Londerzeel,HOUSE,HOUSE,5.0,356.0,False,0.0,"(None,)",1.0,"(None,)","(None,)","(None,)","(None,)","(512,)","(2,)",,GOOD
465000.0,0,Neufchâteau,HOUSE,HOUSE,4.0,145.0,False,,"(None,)",1.0,"(None,)","(None,)","(None,)","(None,)","(819,)","(4,)",1.0,AS_NEW
,0,Oedelem,HOUSE_GROUP,HOUSE_GROUP,,,False,,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)",,
449000.0,0,LIÈGE,HOUSE,APARTMENT_BLOCK,5.0,186.0,False,0.0,"(None,)",1.0,"(None,)","(None,)","(None,)","(None,)","(101,)","(2,)",,GOOD
410000.0,0,Meerhout,HOUSE,HOUSE,4.0,207.0,False,0.0,"(None,)",1.0,"(None,)","(None,)","(None,)","(None,)","(469,)","(4,)",,AS_NEW
340000.0,0,HERENTALS,APARTMENT,GROUND_FLOOR,2.0,98.0,False,,"(None,)",,"(None,)","(1,)","(35,)","(35,)","(None,)","(2,)",,
459000.0,0,Blaasveld,HOUSE,VILLA,3.0,153.0,False,,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(694,)","(4,)",,JUST_RENOVATED
295000.0,0,Ophain-Bois-Seigneur-Isaac,HOUSE,BUNGALOW,2.0,95.0,False,0.0,"(None,)",1.0,"(100,)","(None,)","(None,)","(None,)","(307,)","(4,)",,
249500.0,0,Waasmunster,HOUSE,HOUSE,4.0,205.0,False,,"(None,)",,"(None,)","(1,)","(102,)","(102,)","(223,)","(2,)",,TO_RENOVATE
149000.0,0,Antwerpen,APARTMENT,APARTMENT,2.0,82.0,False,,"(None,)",1.0,"(3,)","(None,)","(None,)","(None,)","(None,)","(None,)",,GOOD
595000.0,0,Bruxelles,APARTMENT,APARTMENT,2.0,105.0,False,0.0,"(None,)",1.0,"(30,)","(None,)","(None,)","(None,)","(None,)","(2,)",,GOOD
995000.0,0,De Haan,HOUSE,VILLA,4.0,568.0,True,0.0,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(2263,)","(None,)",,GOOD
325000.0,0,Opglabbeek,APARTMENT,APARTMENT,3.0,144.0,False,,"(None,)",1.0,"(48,)","(None,)","(None,)","(None,)","(None,)","(None,)",,GOOD
449000.0,0,Sint-Joost-ten-Node,APARTMENT,LOFT,2.0,165.0,True,0.0,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(None,)","(2,)",,
287000.0,0,BRUXELLES,APARTMENT,APARTMENT,2.0,80.0,False,,"(None,)",1.0,"(3,)","(None,)","(None,)","(None,)","(None,)","(2,)",,
595000.0,0,Waregem,APARTMENT,PENTHOUSE,2.0,151.0,False,0.0,"(None,)",1.0,"(75,)","(None,)","(None,)","(None,)","(None,)","(None,)",,
350000.0,0,Antwerpen,APARTMENT,APARTMENT,2.0,116.0,True,0.0,"(None,)",1.0,"(4,)","(None,)","(None,)","(None,)","(None,)","(2,)",,GOOD
579000.0,0,Hoogstraten,HOUSE,HOUSE,3.0,158.0,False,,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(702,)","(4,)",,AS_NEW
350000.0,0,Saint-Ghislain,HOUSE,HOUSE,3.0,182.0,True,0.0,"(None,)",1.0,"(10,)","(None,)","(None,)","(None,)","(400,)","(3,)",0.0,AS_NEW
289000.0,0,Harelbeke,HOUSE,HOUSE,4.0,198.0,False,0.0,"(None,)",1.0,"(None,)","(None,)","(None,)","(None,)","(87,)","(None,)",,JUST_RENOVATED
279000.0,0,Ninove,HOUSE,HOUSE,2.0,106.0,False,0.0,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(424,)","(None,)",0.0,GOOD
639000.0,0,Uccle,APARTMENT,APARTMENT,3.0,168.0,True,0.0,"(None,)",1.0,"(30,)","(None,)","(None,)","(None,)","(None,)","(2,)",0.0,GOOD
,0,ANGLEUR,APARTMENT_GROUP,APARTMENT_GROUP,,,False,,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)",,
515000.0,0,ETTERBEEK,APARTMENT,DUPLEX,1.0,132.0,False,,"(None,)",1.0,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)",,
432571.0,0,Anzegem,HOUSE,HOUSE,4.0,,False,,"(None,)",,"(None,)","(1,)","(246,)","(246,)","(0,)","(None,)",,
175000.0,0,Grâce-Hollogne,HOUSE,HOUSE,2.0,70.0,False,0.0,"(None,)",1.0,"(40,)","(1,)","(80,)","(80,)","(190,)","(2,)",0.0,JUST_RENOVATED
175000.0,0,Ninove,HOUSE,HOUSE,2.0,113.0,False,0.0,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(119,)","(2,)",,TO_RENOVATE
795000.0,0,Woluwe-Saint-Lambert,HOUSE,HOUSE,4.0,380.0,False,0.0,"(None,)",1.0,"(5,)","(1,)","(150,)","(150,)","(258,)","(2,)",0.0,TO_RENOVATE
498000.0,0,ANTWERPEN,HOUSE,HOUSE,5.0,185.0,False,,"(None,)",1.0,"(2,)","(None,)","(None,)","(None,)","(0,)","(2,)",,GOOD
364454.0,0,Blaasveld,APARTMENT,APARTMENT,2.0,91.0,True,,"(None,)",1.0,"(16,)","(None,)","(None,)","(None,)","(None,)","(2,)",,
995000.0,0,Knokke-Zoute,APARTMENT,APARTMENT,2.0,67.0,True,0.0,"(None,)",1.0,"(None,)","(None,)","(None,)","(None,)","(None,)","(2,)",,GOOD
215000.0,0,Halle,APARTMENT,GROUND_FLOOR,2.0,108.0,False,,"(None,)",1.0,"(None,)","(None,)","(None,)","(None,)","(None,)","(2,)",0.0,TO_BE_DONE_UP
199000.0,0,EREMBODEGEM,APARTMENT,APARTMENT,2.0,91.0,False,,"(None,)",1.0,"(None,)","(None,)","(None,)","(None,)","(None,)","(2,)",,GOOD
169500.0,0,Bavikhove,HOUSE,HOUSE,3.0,105.0,False,,"(None,)",1.0,"(8,)","(1,)","(115,)","(115,)","(258,)","(3,)",,TO_RENOVATE
320000.0,0,Gent,APARTMENT,APARTMENT,1.0,,False,,"(None,)",1.0,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)",,GOOD
160000.0,0,Braine-le-Comte,APARTMENT,APARTMENT,1.0,,False,,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)",0.0,AS_NEW
455000.0,0,UCCLE,APARTMENT,APARTMENT,2.0,100.0,True,,"(None,)",1.0,"(19,)","(1,)","(11000,)","(11000,)","(None,)","(4,)",,AS_NEW
199000.0,0,LIBRAMONT-CHEVIGNY,APARTMENT,APARTMENT,2.0,91.0,False,0.0,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)",,
189000.0,0,Torhout,APARTMENT,APARTMENT,2.0,96.0,False,0.0,"(None,)",1.0,"(13,)","(None,)","(None,)","(None,)","(None,)","(None,)",,GOOD
389000.0,0,SINT-NIKLAAS,HOUSE,MANSION,5.0,220.0,False,,"(None,)",1.0,"(50,)","(1,)","(110,)","(110,)","(211,)","(2,)",,GOOD
199000.0,0,Bruxelles,APARTMENT,APARTMENT,1.0,42.0,False,0.0,"(None,)",1.0,"(4,)","(None,)","(None,)","(None,)","(None,)","(None,)",0.0,AS_NEW
